strategy,tau_min,k,bin_type,bin,n,mean_ic_dAUC,t_p,wilcoxon_p
earliest,15,5,size,large,1603,-29.15649719276357,0.0031577181172215227,2.336818619229443e-06
earliest,15,10,size,small,1829,-1.4031765992345537,0.37744435486495564,0.7773093759807419
earliest,15,10,size,medium,1931,-3.446242879337133,0.4026137081483929,0.8512873545066816
earliest,15,10,size,large,1603,-47.112866500311924,0.00010387216226498733,3.8744673647373126e-08
earliest,30,1,size,small,1829,-0.4296555494805899,0.7812103259449308,0.6152393250528797
earliest,30,1,size,medium,1931,-1.0378948731227327,0.7834236735174608,0.8489787821173282
earliest,30,1,size,large,1603,3.262061759201483,0.7684381088406516,0.20179596091858265
earliest,30,3,size,small,1829,-1.339436850738108,0.4843136936064678,0.3129285090906082
earliest,30,3,size,medium,1931,-2.0787338166753013,0.6484602040091468,0.8082246203084485
earliest,30,3,size,large,1603,-3.823378041172801,0.7776163913613431,0.04729886556967873
earliest,30,5,size,small,1829,-0.14201749589939677,0.9297377851287618,0.1654835709767979
earliest,30,5,size,medium,1931,0.9906447436561364,0.8186871573771721,0.437393332465431
earliest,30,5,size,large,1603,-13.375399251403627,0.18828271927467274,0.01500724972906095
earliest,30,10,size,small,1829,-2.2897977036632025,0.2281257801532123,0.922157247302178
earliest,30,10,size,medium,1931,-2.1559735888140903,0.5868477579146931,0.6283398555392886
earliest,30,10,size,large,1603,-39.241575171553336,0.0005815451641920977,4.4053912902713405e-09
earliest,60,1,size,small,1829,-2.1962547840349926,0.19492518822798371,0.15439849014610701
earliest,60,1,size,medium,1931,-1.3124728120145004,0.7300520614262493,0.6471490353561717
earliest,60,1,size,large,1603,8.87722707423579,0.3645859515726455,0.7077185823290151
earliest,60,3,size,small,1829,-1.1779551667577894,0.5017096128277887,0.19071835472136855
earliest,60,3,size,medium,1931,-5.599065251165199,0.15335167574183003,0.7963830398885055
earliest,60,3,size,large,1603,-2.717701185277617,0.7853178009586316,0.026411986547926543
earliest,60,5,size,small,1829,-0.25347731000546625,0.8853173822265705,0.4203678654986559
earliest,60,5,size,medium,1931,1.3653158984981866,0.7444699236000929,0.5150134565632356
earliest,60,5,size,large,1603,-17.74589207735497,0.08573828094809183,0.03951667839243956
earliest,60,10,size,small,1829,-0.04388737014762189,0.9790388226567457,0.05437382155624771
earliest,60,10,size,medium,1931,-2.7893656136716714,0.5064533479216573,0.18125510507874454
earliest,60,10,size,large,1603,-17.241007485963824,0.11320730953269958,0.0007359223128419586
hubs,0,1,size,small,1829,-30.025948605795516,9.57913382161356e-33,1.2854869477785583e-182
hubs,0,1,size,medium,1931,-44.80080010357329,3.8187658950829324e-23,8.465544523502851e-121
hubs,0,1,size,large,1603,-100.21194323144104,6.642462124276763e-15,2.9607021358850895e-65
hubs,0,3,size,small,1829,-36.47310005467469,8.233178920101845e-39,2.127509063962056e-258
hubs,0,3,size,medium,1931,-68.55277835318488,3.496342090919788e-24,1.783737320445251e-206
hubs,0,3,size,large,1603,-166.54889893948845,3.299870016297189e-26,2.2092011425281076e-132
hubs,0,5,size,small,1829,-34.84747949699289,1.8599048781244114e-41,3.116273583531057e-257
hubs,0,5,size,medium,1931,-68.55354997410667,6.400810835771982e-27,2.4361204420448874e-203
hubs,0,5,size,large,1603,-162.74994073611978,2.697579423145969e-31,2.4123676512317533e-132
hubs,0,10,size,small,1829,-36.231962821213784,4.711721362451606e-41,2.2747557945636357e-261
hubs,0,10,size,medium,1931,-66.86132314862765,1.809309668448849e-28,4.6669060331534426e-200
hubs,0,10,size,large,1603,-157.46849968808485,1.48575576555808e-29,5.547709266657941e-140
hubs,15,1,size,small,1829,-1.1867851284855104,0.42601525303774557,0.902257906439665
hubs,15,1,size,medium,1931,-0.37310460901087716,0.9329688371350622,0.5243362480570436
hubs,15,1,size,large,1603,-11.936041796631327,0.2151128382831771,0.07367695308580025
hubs,15,3,size,small,1829,-1.6956752323674136,0.36276727625883576,0.49295877437057567
hubs,15,3,size,medium,1931,-4.412793889176594,0.31206532856116154,0.13320421415987774
hubs,15,3,size,large,1603,-45.82813162819715,0.0001040611629262284,2.6690383618349125e-08
hubs,15,5,size,small,1829,-1.3667796610169476,0.3980054893187124,0.08337104397561299
hubs,15,5,size,medium,1931,-4.53199119627136,0.31543785961036486,0.6055983679792916
hubs,15,5,size,large,1603,-53.33144416718652,2.629343179555256e-05,2.7664228476953283e-10
hubs,15,10,size,small,1829,-1.1923892837616177,0.5284116972187254,0.8789320815108482
hubs,15,10,size,medium,1931,-1.330095805282238,0.7493560553406771,0.4886979275611054
hubs,15,10,size,large,1603,-61.39224890829694,8.860363973747917e-08,1.143779252334767e-11
hubs,30,1,size,small,1829,-0.523433570256969,0.7615000901034777,0.5223150779515571
hubs,30,1,size,medium,1931,-1.381343863283273,0.7081017878507965,0.37412083448943145
hubs,30,1,size,large,1603,-6.353627573300073,0.5756092171197086,0.023397516404926107
hubs,30,3,size,small,1829,-1.5262383816293046,0.4296881142750911,0.33730491566689647
hubs,30,3,size,medium,1931,-1.4719601242879337,0.6690871808392842,0.41489481733515265
hubs,30,3,size,large,1603,-40.502897691827826,0.000311102898431689,7.599302434508789e-07
